learning_rate,batch_size,hidden_size,num_stacked_layers,window_size,train_mse,val_mse,train_mae,val_mae
0.0001,32,128,2,50,0.0755373406490045,0.05069312479879175,0.3034670709499291,0.26365276319640024
0.0001,32,128,3,5,0.050636588791385294,0.040641075798443387,0.23691073998808862,0.20567803723471506
0.0001,32,128,3,7,0.06784508967772127,0.06213729402848652,0.2887243500351906,0.28691006558282034
0.0001,32,128,3,10,0.06708198668435215,0.06275757881147521,0.28422905161976814,0.2912003972700664
0.0001,32,128,3,14,0.07056856097187847,0.060936975691999705,0.2941643238688509,0.2855301541941507
0.0001,32,128,3,20,0.0704349935404025,0.061421389026301246,0.29404883335034054,0.2856533910546984
0.0001,32,128,3,50,0.07636076687569064,0.051678550828780444,0.30548285586493357,0.26391762707914623
0.0001,32,128,4,5,0.0515760341566056,0.038980139419436455,0.24036430656909943,0.2034039476088115
0.0001,32,128,4,7,0.06863856605254114,0.06283984759024211,0.2904025232791901,0.28939543664455414
0.0001,32,128,4,10,0.06701995831914247,0.06268986633845738,0.2837406811118126,0.28971199904169354
0.0001,32,128,4,14,0.07095773978896129,0.06098425015807152,0.2949532632095118,0.2883015253714153
0.0001,32,128,4,20,0.07075847815334176,0.061161480844020844,0.29459999191264313,0.28910223501069204
0.0001,32,128,4,50,0.07612977233449263,0.0514796855194228,0.30490871820421445,0.2638507953711918
0.001,16,32,1,5,0.028647741636086722,0.01236590864853217,0.1689006794989109,0.1179670519553698
0.001,16,32,1,7,0.022937763479956408,0.018749506427691534,0.15228926512051602,0.16195662778157455
0.001,16,32,1,10,0.017772202829032073,0.018428410045229472,0.12243172777246455,0.15273995812122637
0.001,16,32,1,14,0.02135117827007586,0.02338080222790058,0.14218311958635846,0.17554732526724154
0.001,16,32,1,20,0.02191565372792885,0.02249399099785548,0.1423137480432683,0.1778603385274227
0.001,16,32,1,50,0.023219380226758558,0.01779233180702879,0.14865736536136487,0.1615972685126158
0.001,16,32,2,5,0.03180024211178534,0.01593729291254511,0.18379297986626625,0.1551268226825274
0.001,16,32,2,7,0.02639797847119293,0.02724320713717204,0.15816321261987396,0.1795713064762262
